Unnamed: 0,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_1,quarter_2,quarter_3,quarter_4,mean,std,median,max,min,20_число,21_число,22_число,23_число,y
2015-03-09,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,194057.14285714287,54780.040682192615,181000.0,286600.0,123800.0,0,0,0,0,28500.0
2015-03-10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,173985.7142857143,83632.51816869988,181000.0,286600.0,28500.0,0,0,0,0,274400.0
2015-03-11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,187328.57142857142,91972.81689509607,182700.0,286600.0,28500.0,0,0,0,0,242400.0
2015-03-12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,186571.42857142858,91413.10471855519,182700.0,286600.0,28500.0,0,0,0,0,46400.0
2015-03-13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,152257.14285714287,92680.5959041194,167600.0,274400.0,28500.0,0,0,0,0,120900.0
2015-03-14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,143428.57142857142,92239.77295226572,123800.0,274400.0,28500.0,0,0,0,0,76200.0
2015-03-15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,130371.42857142857,94684.61181356518,120900.0,274400.0,28500.0,0,0,0,0,55900.0
2015-03-16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,120671.42857142857,98856.1533118645,76200.0,274400.0,28500.0,0,0,0,0,102900.0
2015-03-17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,131300.0,90980.51073352549,102900.0,274400.0,46400.0,0,0,0,0,61600.0
2015-03-18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100900.0,67793.90336404255,76200.0,242400.0,46400.0,0,0,0,0,111600.0
2015-03-19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,82214.28571428571,29507.706822194206,76200.0,120900.0,46400.0,0,0,0,0,48500.0
2015-03-20,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,82514.28571428571,29090.63013935185,76200.0,120900.0,48500.0,1,1,1,0,774700.0
2015-03-21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,175914.2857142857,265097.55077814515,76200.0,774700.0,48500.0,0,0,0,0,1765800.0
2015-03-22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,417285.71428571426,649568.1576467332,102900.0,1765800.0,48500.0,0,0,0,0,320000.0
